Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
BarrTo00,Tom Barrington,WAS,22,RB,6,0.0,1.0,0.0,0.0,0.0,10.0,37.0,0.0,1.0,2.0,23.0,0.0,1.0,0.0,5.0
DunnPe00,Perry Lee Dunn,ATL,25,RB,14,0.0,2.0,0.0,0.0,2.0,22.0,52.0,0.0,2.0,5.0,45.0,0.0,2.0,0.0,4.2
TripBi00,Bill Triplett,STL,26,RB,8,0.0,0.0,0.0,0.0,0.0,13.0,25.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,4.1
HarrCh00,Charlie Harraway,CLE,22,RB,14,0.0,0.0,0.0,0.0,0.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
PietNi00,Nick Pietrosante,CLE,29,RB,13,0.0,0.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,3.7
BanaPe00,Pete Banaszak,OAK,22,RB,14,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,3.4
GarrJ.00,J.D. Garrett,BOS,25,RB,14,0.0,0.0,0.0,0.0,0.0,13.0,21.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.3
ShulRa00,Randy Schultz,CLE,23,RB,14,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
BryaCh00,Charlie Bryant,STL,25,RB,4,0.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
StonDo00,Donnie Stone,HOU,29,RB,5,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,1.0,1.0,17.0,0.0,1.0,0.0,2.0
SidlJi00,Jimmy Sidle,ATL,23,RB,6,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,1.0,16.0,0.0,1.0,0.0,1.3
PiccBr00,Brian Piccolo,CHI,23,RB,14,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
MarcJo00,Joe Marconi,CHI,32,RB,10,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
LindMi00,Mike Lind,PIT,26,RB,6,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
JohnRu01,Rudy Johnson,ATL,25,RB,1,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
KantJo00,Joe Kantor,WAS,24,RB,4,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
KellMi01,Mike Kellogg,DEN,24,RB,8,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,-0.7
WillJe01,Jeff Williams,MIN,23,RB,3,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8
AtkiPe00,Pervis Atkins,OAK,31,RB,14,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.0
ToddJi00,Jim Todd,DET,23,RB,10,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-3.4
